	BACE1	UBQLN1	MS4A6A	ABI3	ZCWPW1	MS4A4A	FRMD4A	IGF1R	MAPT	TP53INP1	SLC30A6	GSK3B	INSR	APH1B	MAN2A1	PSEN1	MTHFR	SLC30A4	ACE	TFCP2	SORCS1	ALPK2	SOAT1	NOS3	PPP1R37	GLIS3	SRRM4	CST3	SORL1	APOC2	SCIMP	ENTPD7	CELF1	ARID5B	PGBD1	HFE	CD2AP	CTNNA3	TFAM	BDNF	CYP19A1	PM20D1	IGF1	CHRNB2	EIF2AK3	EPHA1	CLNK	NEDD9	SLC24A4	CR1	GAPDH
ZNF814	0.0672	0.123	0.1806	0.1922	0.3311	0.2807	0.0264	0.1953	0.1956	0.3147	0.1858	0.005	0.2212	0.2152	0.1313	0.1982	0.2176	0.249	0.1856	0.1693	0.0074	0.2697	0.2627	0.2466	0.1599	0.1647	-0.0221	0.3274	0.239	0.1829	0.2743	0.2706	0.361	0.3226	0.1177	0.2826	0.0483	0.1587	0.1898	0.0998	0.349	0.2505	0.2817	0.1789	0.2409	0.344	0.1939	0.2253	0.2183	0.2221	0.002
ACSM2B	-0.0965	-0.1838	0.2619	0.3027	0.1497	0.5104	-0.2752	0.0443	-0.0695	0.3632	0.1819	-0.2483	0.0639	-0.0874	-0.0537	0.0837	0.0506	-0.0223	0.2184	0.015	-0.2096	0.2979	0.17	0.3392	0.0659	0.187	-0.123	0.3664	0.1597	0.3782	0.3333	0.2185	0.4665	0.4071	-0.0693	0.3403	0.2287	0.1156	0.2013	0.065	0.4759	0.351	0.3625	0.1597	0.3589	0.4397	0.3095	0.2958	0.152	0.2048	-0.0933
ANO7	0.0886	-0.0713	0.4206	0.3223	0.1905	0.4224	-0.194	0.2015	-0.015	0.3717	0.2557	-0.1199	0.1725	0.2323	0.2033	0.3525	0.1773	0.236	0.3336	0.1771	-0.0682	0.3967	0.3089	0.2361	0.0699	0.3426	-0.303	0.306	0.0143	0.3929	0.4166	0.1449	0.4329	0.3859	-0.0588	0.356	0.2919	0.2423	0.2961	0.172	0.4099	0.4461	0.4309	0.0952	0.2979	0.4337	0.3175	0.3728	0.1291	0.2512	0.0196
NANS	-0.1433	-0.3422	0.2964	0.361	-0.0119	0.472	-0.4375	-0.0337	-0.2177	0.2412	0.1153	-0.3789	0.023	-0.1647	-0.0699	0.0711	-0.032	-0.0926	0.2902	-0.1511	-0.2801	0.3008	0.0971	0.2977	-0.001	0.1914	-0.2207	0.2725	-0.0007	0.4401	0.4668	0.1456	0.4501	0.4131	-0.1796	0.3315	0.2553	0.0873	0.2053	0.1305	0.4699	0.4048	0.4693	0.1196	0.2576	0.3816	0.3912	0.2824	0.021	0.317	-0.1273
ERG	0.0691	-0.0731	0.3311	0.3319	0.1	0.3984	-0.2116	0.168	0.1199	0.2102	0.078	-0.0946	0.2014	0.0583	0.0585	0.2376	0.1789	0.1188	0.341	0.0896	-0.034	0.3176	0.207	0.4582	0.1349	0.1784	-0.1546	0.2658	0.1444	0.3771	0.2923	0.1845	0.3379	0.4492	0.1068	0.2416	0.2365	0.0941	0.3621	0.0248	0.4747	0.2497	0.2132	0.2116	0.3291	0.2614	0.3749	0.2703	0.073	0.0954	0.223
CDC34	0.3815	0.1665	0.1497	0.2106	0.1725	0.2003	-0.0207	0.0665	0.2727	0.17	0.101	0.1063	0.2656	0.2347	0.2994	0.4015	0.2387	0.2338	0.2722	0.135	0.0119	0.2589	0.109	0.3078	0.206	0.1699	-0.0381	0.0087	0.1993	0.2264	0.1487	0.0466	0.222	0.2206	0.1148	0.1834	0.2545	0.2624	0.0972	0.0675	0.2064	0.1368	0.1059	0.2969	0.1235	0.0559	0.0583	0.1509	0.0436	0.0401	0.2825
XG	-0.1004	-0.2491	0.2227	0.3632	0.1004	0.4042	-0.2911	-0.0119	-0.1224	0.2458	0.0602	-0.2818	0.0466	-0.0104	-0.0512	0.0933	0.0486	0.0586	0.2435	0.01	-0.1682	0.3532	0.2087	0.3037	0.0357	0.132	-0.2526	0.3531	0.028	0.3491	0.3973	0.2046	0.4748	0.4534	-0.0397	0.2872	0.3099	0.1384	0.1478	0.0748	0.5168	0.3825	0.3753	0.1287	0.2925	0.4217	0.3868	0.242	0.0831	0.2131	-0.1278
NTM	0.0923	-0.1379	0.2561	0.3039	0.0577	0.3177	-0.1987	0.088	-0.023	0.1721	0.1551	-0.0994	0.1163	0.0919	0.0636	0.2144	0.2135	0.1481	0.3605	0.0856	-0.0081	0.2955	0.2031	0.2326	0.1076	0.2501	-0.162	0.1729	-0.0453	0.3683	0.3325	0.1727	0.3645	0.3225	-0.104	0.252	0.3218	0.1354	0.1873	0.1744	0.2832	0.4121	0.3364	0.1404	0.1333	0.2268	0.281	0.2431	0.0689	0.2002	0.0598
PXDNL	0.0199	-0.0252	0.1246	0.2062	0.1763	0.326	-0.1259	0.1665	0.0468	0.2334	0.1448	0.003	0.0695	0.0468	-0.0123	0.1132	0.0379	0.1665	0.1848	0.0661	-0.0483	0.2432	0.1661	0.2549	0.017	0.041	-0.0869	0.3469	0.0912	0.2177	0.2275	0.2448	0.3123	0.3214	0.0522	0.2611	0.0417	0.0092	0.2537	0.0601	0.3815	0.2296	0.2895	0.1537	0.2661	0.2619	0.2726	0.1312	0.1304	0.2229	0.0149
ACOT6	-0.0428	-0.1578	0.28	0.3194	0.2067	0.3842	-0.28	0.0043	-0.0776	0.2542	0.0284	-0.2178	0.1168	0.0089	0.0288	0.166	0.0478	0.1037	0.2254	0.1124	-0.1532	0.2953	0.2003	0.4545	0.0018	0.152	-0.2869	0.3148	0.1051	0.3587	0.3588	0.2058	0.4057	0.4737	0.1437	0.2768	0.2138	0.1139	0.1992	0.0348	0.5571	0.2719	0.2549	0.1148	0.4287	0.3647	0.3124	0.2548	0.1047	0.1138	-0.0293
SLCO1C1	-0.161	-0.2099	0.2719	0.2304	-0.0639	0.2621	-0.2807	-0.0356	-0.2704	0.2161	0.2322	-0.3082	-0.0505	-0.0141	0.006	0.0699	-0.069	-0.0168	0.1239	0.0	-0.1544	0.1456	0.2239	0.0833	-0.1405	0.2132	-0.2433	0.0935	-0.1519	0.2882	0.3519	0.2508	0.2334	0.2684	-0.1058	0.2763	0.1185	0.0523	0.0947	0.307	0.2733	0.3946	0.3954	0.0185	0.0945	0.2649	0.297	0.1828	0.0656	0.309	-0.2129
SLC16A11	0.0462	-0.0402	0.1911	0.2779	0.1322	0.4182	-0.175	-0.0626	0.1698	0.1581	0.0028	-0.0171	0.0241	-0.0018	0.0388	0.2146	0.1721	0.0899	0.4171	-0.011	-0.0392	0.371	0.0571	0.4392	0.2909	0.1138	-0.0618	0.2091	0.2005	0.4167	0.2764	0.1001	0.3839	0.3196	0.0624	0.2181	0.4212	0.074	0.2025	0.0736	0.4399	0.1509	0.2526	0.3669	0.3312	0.2374	0.2588	0.2298	0.015	0.0189	0.1456
FDFT1	0.2651	0.069	0.1371	0.0378	0.2078	0.0493	-0.1241	0.3123	0.1099	0.2975	0.1885	-0.193	0.4747	0.2914	0.5048	0.3329	0.288	0.3098	0.1421	0.169	-0.1001	0.1249	0.304	0.0267	0.0088	0.2889	-0.2098	0.0109	0.3448	0.0478	0.0328	0.0552	0.0293	0.1221	-0.0658	0.1709	0.0985	0.4355	0.0248	-0.0165	0.1121	0.1526	0.1412	-0.1651	0.0249	0.0192	0.0688	0.1531	0.0923	0.2511	0.0284
LIN7B	-0.0122	0.2634	-0.2435	-0.0904	0.3057	-0.1725	0.4725	0.1003	0.2661	-0.0254	-0.0163	0.4128	-0.0296	0.307	-0.053	-0.0059	0.0655	0.3399	0.0643	0.2773	0.4523	0.006	0.162	-0.03	0.1562	-0.149	0.0696	-0.0765	-0.1736	0.0235	-0.0821	0.1194	-0.1263	-0.145	0.2895	-0.1802	-0.0503	-0.1273	-0.0683	0.1043	-0.2103	-0.1331	-0.167	0.2018	-0.1319	-0.1754	-0.0874	-0.1356	0.0904	-0.0936	-0.1958
ANAPC10	0.1462	0.384	0.0732	-0.0396	0.2687	0.1406	0.1859	0.163	0.2552	0.2959	0.2473	0.3145	0.1518	0.3961	0.227	0.2921	0.2098	0.4268	0.2043	0.4022	0.2499	0.1632	0.3271	0.1651	0.1284	0.1994	-0.0326	0.1213	0.1488	0.172	0.1479	0.2964	0.1912	0.137	0.2995	0.1663	0.0185	0.1448	0.1709	0.2599	0.1717	0.1338	0.1246	0.1832	0.0801	0.1191	-0.0167	0.1195	0.2203	0.1182	0.0188
TECRL	-0.0957	-0.1267	0.1366	0.198	0.1575	0.2514	-0.2102	-0.0474	-0.0276	0.1714	0.0051	-0.171	0.0422	-0.0176	-0.0328	0.0363	-0.0327	0.0715	0.1104	-0.0124	-0.1275	0.2479	0.1812	0.3244	0.0426	0.0256	-0.202	0.24	0.0464	0.1963	0.2831	0.1442	0.3521	0.3152	0.0778	0.2325	0.1481	0.0182	0.1225	0.0586	0.4213	0.1811	0.2655	0.135	0.2539	0.3262	0.34	0.0601	-0.0105	0.16	-0.1188
BMPER	0.027	0.2728	-0.0625	0.0145	0.1085	0.0274	0.2444	0.0835	0.1914	0.0099	0.1892	0.3356	0.1024	0.1447	-0.0481	0.0925	0.0636	0.2432	0.0899	0.1992	0.3507	-0.0496	0.1912	0.0034	0.0737	0.046	0.1246	-0.0561	-0.1375	0.1004	0.0752	0.2122	0.0139	0.032	0.1922	-0.0452	-0.0272	-0.1243	0.1169	0.2496	-0.0074	0.026	0.0268	0.1458	-0.057	-0.0043	0.0461	-0.0907	0.0907	-0.0407	-0.0444
SNX31	-0.0465	-0.1127	0.2673	0.2684	0.1804	0.4711	-0.2479	0.1716	-0.0691	0.3613	0.3005	-0.2713	0.1719	-0.0025	0.0976	0.1184	0.215	0.0974	0.2456	0.1369	-0.0917	0.2323	0.2667	0.2421	0.0263	0.3356	-0.149	0.3886	0.2107	0.3313	0.3283	0.2265	0.4078	0.3506	-0.0964	0.3147	0.0997	0.2037	0.2144	0.0867	0.4164	0.3764	0.3744	0.0796	0.265	0.351	0.2273	0.2599	0.1633	0.2558	-0.0461
GRK4	0.2107	0.2372	0.1937	0.1939	0.2117	0.3202	0.0321	0.2194	0.2931	0.2815	0.1607	0.1997	0.1873	0.1662	0.1637	0.2655	0.3554	0.339	0.3206	0.2286	0.1707	0.32	0.2417	0.3382	0.3195	0.1994	0.1014	0.2655	0.4359	0.2595	0.276	0.2396	0.4311	0.3395	0.1839	0.3208	0.168	0.1827	0.2552	0.2133	0.4155	0.1974	0.2274	0.2762	0.2736	0.3031	0.1068	0.2137	0.2096	0.1512	0.281
RHOV	-0.0808	-0.1499	0.1124	0.3241	0.2025	0.2993	-0.0402	-0.1425	0.0359	0.0873	-0.1145	-0.0649	-0.0753	-0.0894	-0.1603	0.0453	0.0592	-0.0072	0.2068	-0.0105	-0.0472	0.3729	0.003	0.4312	0.3671	0.0035	-0.1105	0.1385	0.0055	0.4097	0.3316	0.0748	0.393	0.4005	0.1474	0.093	0.4837	-0.0191	0.1485	0.0708	0.4721	0.12	0.2034	0.3008	0.2939	0.2674	0.3239	0.2616	-0.0297	-0.0337	-0.0502
XDH	-0.0649	-0.0993	0.2897	0.2649	0.06	0.3476	-0.26	0.0068	-0.1323	0.2891	0.2359	-0.1687	-0.0191	-0.0054	0.044	0.1548	-0.0533	0.0888	0.187	0.0456	-0.1474	0.3094	0.2262	0.2146	0.0223	0.1774	-0.1871	0.2322	0.0118	0.3617	0.5177	0.2357	0.481	0.4066	-0.0688	0.4571	0.1916	0.081	0.2395	0.2913	0.4619	0.4432	0.4521	0.122	0.2666	0.4085	0.3366	0.2637	0.0548	0.3411	-0.0624
DGUOK	-0.0679	-0.1076	0.3373	0.3404	0.101	0.3921	-0.1997	0.0384	-0.0776	0.3676	0.2929	-0.214	0.0404	0.0396	0.038	0.1676	0.0718	0.0668	0.2254	0.0739	-0.153	0.3917	0.1662	0.2085	0.1144	0.2751	-0.1598	0.3207	0.0871	0.3867	0.4897	0.2884	0.5158	0.3948	-0.0702	0.3958	0.2281	0.1221	0.2651	0.2854	0.4775	0.4664	0.5229	0.1319	0.2972	0.4991	0.2771	0.3848	0.1179	0.2878	-0.0399
NKAIN2	0.4224	0.3321	0.0463	-0.1007	0.2769	-0.1394	0.0908	0.1462	0.1857	0.2944	0.1576	0.0886	0.3042	0.6003	0.6683	0.4898	0.2066	0.4578	0.1184	0.3995	-0.0221	0.0823	0.3247	-0.0659	-0.0487	0.0731	-0.2626	-0.0701	0.1609	-0.0631	-0.0302	0.0856	-0.0415	-0.0577	0.1532	0.1178	-0.0224	0.5555	-0.03	0.0864	-0.0679	0.1141	-0.0074	-0.0463	-0.0165	-0.0427	-0.1429	0.062	0.1141	0.1922	-0.054
APEH	0.003	0.0252	0.1635	0.1621	0.3774	0.3193	-0.1265	0.1605	0.0392	0.4076	0.1658	-0.0698	0.1723	0.2563	0.1247	0.1811	0.1002	0.2768	0.3181	0.1859	-0.0208	0.2365	0.2775	0.2868	0.0474	0.0925	-0.2544	0.3263	0.1194	0.2279	0.1334	0.2196	0.2583	0.2591	0.0512	0.2255	0.0154	0.127	0.1305	0.0072	0.3644	0.2251	0.1769	0.1445	0.3026	0.205	0.1372	0.1526	0.1716	0.1583	-0.0268
ZBP1	-0.0655	-0.204	0.2371	0.3682	0.2236	0.3715	-0.2747	-0.0707	-0.1138	0.2087	0.0184	-0.1895	0.0238	0.0122	-0.056	0.1268	0.002	0.0822	0.3106	0.0715	-0.0794	0.3073	0.1871	0.5118	0.1017	0.0852	-0.3115	0.2838	-0.0088	0.4218	0.364	0.1266	0.4126	0.5337	0.1224	0.1956	0.2914	0.0615	0.1663	0.0227	0.5929	0.2022	0.2269	0.2434	0.4349	0.3405	0.3595	0.2025	0.0016	0.0489	-0.0669
XBP1	0.0678	-0.0345	0.1816	0.267	0.1745	0.4465	-0.1353	0.1577	0.1173	0.2276	0.1451	-0.0473	0.1758	0.0044	0.0447	0.1931	0.2952	0.1665	0.4093	0.098	0.061	0.3518	0.1279	0.4751	0.2179	0.1582	-0.0009	0.3073	0.2785	0.4061	0.3042	0.1387	0.3897	0.3954	0.0422	0.2642	0.2719	0.1502	0.2332	0.1067	0.4696	0.2625	0.2659	0.2384	0.3024	0.2529	0.2593	0.2641	0.0655	0.111	0.1838
ABHD4	-0.1166	-0.1691	0.2828	0.3525	0.1938	0.3993	-0.162	0.0836	-0.1171	0.3902	0.272	-0.177	0.0784	0.0818	0.0238	0.1661	-0.0066	0.1695	0.3186	0.1471	-0.0649	0.3355	0.3496	0.2231	0.0365	0.2476	-0.2997	0.3189	-0.0078	0.4123	0.4787	0.3018	0.4731	0.4122	-0.0198	0.3936	0.2327	0.1405	0.2167	0.3051	0.4685	0.4812	0.5013	0.1404	0.3406	0.4348	0.3416	0.3073	0.091	0.3508	-0.1612
ZNF709	0.0599	0.3169	0.1772	-0.0685	0.0923	0.0803	0.1994	0.2911	0.087	0.2602	0.3932	0.1846	0.2096	0.3218	0.2569	0.2526	0.0927	0.2994	0.0946	0.3211	0.259	0.0327	0.317	-0.1158	-0.0018	0.3326	0.0305	0.0727	0.0016	0.0541	0.1257	0.185	0.0623	-0.0223	0.021	0.1061	-0.1605	0.1575	0.1267	0.2428	-0.0831	0.1794	0.1509	0.0244	-0.0659	0.0634	-0.0769	0.0907	0.2702	0.1863	0.0515
KIDINS220	0.0998	0.1699	0.0806	0.116	-0.0036	0.2294	0.016	0.1665	0.0961	0.1177	0.2705	0.1098	0.0354	-0.0673	-0.0174	0.0273	0.148	0.0265	0.0267	-0.0469	0.021	0.1129	0.0054	-0.029	0.0983	0.1379	0.2768	0.1644	0.1774	0.1074	0.1998	0.151	0.2313	0.1001	-0.1419	0.2331	-0.0112	0.021	0.1797	0.2065	0.1288	0.2186	0.2595	0.1229	0.023	0.2744	0.0454	0.206	0.1799	0.1439	0.1471
ATP2B3	0.0771	0.4943	-0.2297	-0.2021	0.1998	-0.085	0.4763	0.3988	0.3801	-0.0493	0.0512	0.5633	0.1608	0.2322	0.0149	-0.0299	0.1497	0.4188	0.0097	0.2957	0.5791	-0.0437	0.2621	-0.014	0.1647	-0.0356	0.3105	-0.0137	0.1463	-0.0389	-0.0498	0.1916	-0.0182	-0.0781	0.2661	-0.0035	-0.2109	-0.0113	0.0882	0.0954	-0.1036	-0.0862	-0.1516	0.2136	-0.1308	-0.1689	-0.1095	-0.1609	0.1174	-0.0175	0.0506
LRRC8B	0.1829	0.0928	0.2408	0.2222	0.2614	0.2943	-0.0779	0.1139	0.0777	0.3884	0.309	-0.0533	0.1986	0.2417	0.2523	0.3651	0.1152	0.2761	0.2752	0.2692	-0.0411	0.3365	0.3107	0.2422	0.069	0.2127	-0.1779	0.1832	0.1373	0.2793	0.3761	0.2549	0.3967	0.3216	0.1131	0.3506	0.2489	0.3498	0.2613	0.2377	0.3688	0.3432	0.3822	0.1551	0.2174	0.2553	0.2087	0.2849	0.1536	0.2793	-0.0021
ARAP1	-0.03	-0.2846	0.1629	0.4141	0.1517	0.3656	-0.2312	-0.0613	0.0901	0.1528	-0.0376	-0.1479	-0.0019	-0.1312	-0.1655	0.0552	-0.0209	-0.0508	0.2894	-0.0577	-0.1419	0.3314	-0.0041	0.5246	0.2868	0.0642	-0.1058	0.2591	0.1157	0.415	0.3133	0.0774	0.3914	0.424	0.076	0.199	0.3412	-0.0721	0.172	0.0373	0.4862	0.0911	0.2359	0.2517	0.2583	0.2413	0.4023	0.1813	-0.0234	0.0736	-0.0122
SIX3	0.1736	0.1182	0.5076	0.138	0.2463	0.4188	-0.2235	0.3104	0.0603	0.451	0.2798	0.0241	0.3241	0.5354	0.394	0.5561	0.318	0.6307	0.6401	0.4086	0.2081	0.3889	0.6387	0.3243	0.0438	0.47	-0.4644	0.2239	0.0815	0.4223	0.4276	0.245	0.3642	0.4026	0.0691	0.3659	0.2674	0.3496	0.3087	0.2054	0.4332	0.4262	0.3344	0.1299	0.2969	0.3029	0.3049	0.2755	0.1978	0.2353	0.1275
TRIM45	0.2456	0.2404	0.1894	0.0486	0.2286	0.2952	0.0591	0.2494	0.1634	0.4184	0.384	0.1347	0.2133	0.3663	0.3813	0.475	0.2653	0.4379	0.2793	0.3993	0.1399	0.242	0.387	0.0813	0.0358	0.351	-0.1046	0.1029	0.1177	0.257	0.328	0.2719	0.2494	0.1913	0.0812	0.3614	0.0429	0.3092	0.2062	0.3547	0.2006	0.3867	0.3375	0.1142	0.0716	0.2158	0.0943	0.1932	0.2802	0.2705	0.017
PHF11	-0.0363	-0.1777	0.2641	0.257	0.0696	0.3509	-0.1645	0.1924	-0.161	0.2592	0.2565	-0.2356	0.2106	-0.0031	0.088	0.1138	0.0533	0.0585	0.2008	0.1383	-0.0857	0.2396	0.2136	0.0953	-0.1369	0.1935	-0.1939	0.3963	0.0308	0.2904	0.2443	0.188	0.3294	0.2225	-0.1454	0.2743	0.0652	0.2255	0.2215	0.0549	0.2922	0.449	0.341	-0.0202	0.2146	0.3374	0.2523	0.2278	0.0915	0.3103	-0.0287
IDI1	0.4049	0.1803	0.3874	0.1885	0.1283	0.3943	-0.1708	0.3512	0.2134	0.4097	0.4052	-0.0082	0.3328	0.3016	0.4508	0.5371	0.3585	0.3389	0.3943	0.2609	0.0029	0.2913	0.3059	0.177	0.1153	0.431	-0.0172	0.238	0.3962	0.3043	0.3657	0.1635	0.335	0.2977	-0.0881	0.4573	0.1285	0.4152	0.2746	0.2493	0.2881	0.3664	0.3869	0.0729	0.082	0.2927	0.158	0.3287	0.2376	0.3417	0.295
RGS12	0.0451	0.1224	0.0191	0.0442	0.1285	-0.0385	0.1469	0.1101	0.2323	0.0087	-0.0642	0.1301	0.0992	0.1136	0.0367	0.0632	0.2353	0.1916	0.1073	0.0908	0.2143	-0.0153	0.1152	0.1024	0.2381	0.0976	-0.0048	-0.0527	0.0826	0.0266	-0.099	0.0267	-0.0254	0.0903	0.0932	-0.0622	0.0772	-0.0894	-0.0284	0.1493	-0.0215	-0.0331	-0.0679	0.0013	-0.0119	-0.1565	0.0155	-0.0133	0.0209	-0.06	0.1913
ACAP1	0.1188	-0.1535	0.3303	0.3176	0.0619	0.4178	-0.3953	0.0353	0.0373	0.2767	0.1425	-0.1993	0.179	0.0748	0.1666	0.3137	0.2001	0.0927	0.452	0.0006	-0.2042	0.333	0.1736	0.4277	0.0879	0.244	-0.2376	0.2184	0.15	0.4429	0.3149	0.1203	0.3669	0.3638	-0.1113	0.3268	0.3653	0.215	0.2468	0.1415	0.4415	0.3747	0.2968	0.2112	0.2222	0.2621	0.3046	0.2931	0.0492	0.1592	0.1316
EPB41L2	-0.0188	-0.191	0.1555	0.2196	0.0388	0.2897	-0.1853	0.1537	-0.1582	0.2475	0.2203	-0.2038	0.05	-0.0683	0.033	-0.0138	0.0001	-0.0012	0.1216	0.058	-0.1046	0.1748	0.1272	0.0522	-0.0612	0.1255	-0.104	0.2735	0.1458	0.1941	0.2139	0.1222	0.3279	0.1635	-0.1949	0.369	0.0375	0.1929	0.1837	0.1439	0.231	0.3677	0.3451	-0.0324	0.1926	0.2989	0.1703	0.1965	0.0423	0.3668	-0.0646
SYTL5	0.1677	0.2903	0.3463	-0.0333	0.2109	0.2264	-0.0345	0.2669	0.1485	0.3023	0.2786	0.2412	0.2306	0.5873	0.3399	0.4933	0.325	0.6643	0.5105	0.4385	0.3656	0.233	0.5895	0.1062	0.0478	0.3922	-0.296	0.0364	-0.0068	0.2727	0.2636	0.2321	0.1628	0.1955	0.1087	0.2136	0.1032	0.2507	0.2105	0.3074	0.161	0.2648	0.1879	0.1259	0.104	0.1438	0.137	0.1643	0.2155	0.1226	0.1076
CHSY3	-0.0483	0.1984	0.0043	-0.0132	0.0333	0.0468	0.2131	0.0212	0.1797	-0.0507	0.1267	0.2743	0.008	0.1761	-0.0646	0.0369	0.1665	0.2171	0.0886	0.1254	0.3036	0.0466	0.1383	-0.0377	0.1707	0.0926	0.1299	-0.1287	-0.0663	0.1396	0.0598	0.1767	-0.011	-0.013	0.1192	-0.0917	0.0714	-0.0579	0.0403	0.19	-0.0377	0.0408	0.08	0.1339	-0.0771	-0.0018	-0.0165	0.0903	0.1439	-0.1115	-0.0765
CCNE1	-0.0545	-0.1116	0.282	0.2958	0.1683	0.3026	-0.2321	0.0026	-0.0812	0.2698	0.2117	-0.1581	0.0896	0.0634	0.0076	0.1611	0.1581	0.0969	0.2415	0.0905	-0.1026	0.2756	0.2058	0.3333	0.0646	0.2182	-0.1912	0.198	0.0378	0.3961	0.3712	0.2926	0.4097	0.4197	0.0326	0.2904	0.2859	0.1031	0.1706	0.1982	0.4431	0.4373	0.327	0.1774	0.2951	0.3894	0.2412	0.2672	0.1082	0.1908	-0.0939
METTL3	0.2702	0.1594	0.0988	-0.0132	0.2077	0.0425	0.1513	0.397	0.1581	0.229	0.1668	0.0544	0.3962	0.414	0.3966	0.3122	0.3992	0.3797	0.2051	0.3654	0.2019	0.1766	0.3091	0.0075	0.0077	0.1951	-0.0922	0.1625	0.3052	-0.0331	0.0091	0.079	0.0389	0.071	0.1015	0.1185	0.0205	0.4058	0.0995	-0.0517	0.036	0.159	0.08	-0.1176	0.0734	0.0049	-0.0086	0.1581	0.1196	0.1226	0.1492
PAQR7	0.0003	-0.1879	0.1028	0.2608	0.2342	0.1793	-0.1806	-0.0198	-0.0431	0.254	-0.0423	-0.2054	0.0541	0.1749	0.0424	0.166	-0.0025	0.1231	0.2369	0.1088	-0.1551	0.1519	0.2306	0.3279	0.0785	0.0208	-0.377	0.1575	-0.0244	0.2965	0.1944	0.0819	0.2145	0.304	0.0446	0.1183	0.2531	0.0467	0.0305	0.0025	0.3072	0.1569	0.1136	0.1337	0.2098	0.1503	0.2532	0.1229	0.0189	0.1365	-0.1903
CHST1	0.109	0.1367	0.376	0.2563	0.2648	0.4079	-0.1404	0.2159	0.1323	0.4363	0.3273	0.0099	0.2428	0.2983	0.2359	0.3814	0.1895	0.3729	0.422	0.2354	0.0395	0.3162	0.3836	0.2821	0.0781	0.3184	-0.2144	0.2976	0.1382	0.3682	0.4263	0.2695	0.4208	0.3999	0.0252	0.4264	0.1741	0.1859	0.2921	0.3073	0.4263	0.392	0.3619	0.1853	0.242	0.3297	0.2465	0.2462	0.1834	0.3046	0.105
SIN3B	0.0696	-0.0257	0.2897	0.2487	0.1544	0.36	-0.1786	0.1671	-0.0009	0.356	0.2171	-0.0834	0.0564	0.022	0.0615	0.1958	0.0881	0.1554	0.2854	0.0683	-0.0935	0.3323	0.2227	0.2562	0.125	0.2426	-0.0606	0.3066	0.2028	0.3667	0.4557	0.1983	0.4813	0.4049	-0.0701	0.459	0.1369	0.1484	0.2385	0.2784	0.4547	0.3741	0.4056	0.1251	0.2489	0.394	0.3021	0.3563	0.1208	0.3056	0.0713
ATP6	-0.0313	-0.1904	0.2339	0.1494	-0.0069	0.3501	-0.3269	0.1866	-0.2256	0.1962	0.1848	-0.2501	0.193	0.0158	0.1427	0.2178	-0.0084	0.0393	0.2531	0.061	-0.1086	0.2328	0.1752	0.1725	-0.1524	0.1495	-0.2317	0.2079	-0.0911	0.2908	0.2549	0.0663	0.2699	0.2048	-0.1513	0.2386	0.1045	0.2205	0.2545	-0.0123	0.2827	0.4157	0.2465	0.0814	0.2053	0.1933	0.2339	0.1613	0.0337	0.2174	0.1055
DLX1	-0.0812	0.3514	-0.4549	-0.314	-0.0102	-0.403	0.6087	-0.0679	0.2815	-0.3561	-0.1947	0.5751	-0.2002	-0.0761	-0.2684	-0.3168	-0.0982	-0.0365	-0.304	0.0714	0.4034	-0.2714	-0.2661	-0.2228	0.1684	-0.3573	0.4795	-0.2249	-0.0611	-0.3678	-0.39	-0.1432	-0.3566	-0.4056	0.2595	-0.4045	-0.3106	-0.374	-0.1832	-0.0337	-0.4666	-0.4688	-0.4687	0.1124	-0.2107	-0.3576	-0.383	-0.3024	-0.0317	-0.3556	0.0386
HDAC2	0.0759	0.0527	0.1887	0.182	0.2779	0.3706	-0.0338	0.2664	0.1455	0.3339	0.1867	0.0588	0.2625	0.2266	0.1428	0.2473	0.1406	0.3879	0.397	0.2603	0.1264	0.4102	0.4297	0.3578	0.2251	0.176	-0.178	0.2642	0.1998	0.4039	0.3846	0.2048	0.3846	0.3171	0.1106	0.3395	0.2992	0.2037	0.3425	0.178	0.3774	0.2995	0.3515	0.2395	0.2564	0.2881	0.346	0.2355	0.0975	0.2582	-0.0278
SNRPA1	0.3096	0.3383	0.0658	-0.123	-0.0504	-0.0535	0.1523	0.2823	0.2267	0.057	0.2464	0.2189	0.2167	0.2104	0.3065	0.2391	0.3784	0.2368	0.09	0.2491	0.3213	-0.033	0.0791	-0.0849	0.0244	0.2956	0.2974	-0.0833	0.3604	-0.0533	-0.029	0.0775	-0.027	-0.0582	0.0788	0.0864	-0.1596	0.2702	0.0738	0.1737	-0.1101	0.0539	-0.027	-0.0011	-0.1536	-0.0933	-0.2216	0.012	0.1513	0.061	0.36
CLSPN	-0.0229	-0.0496	0.3225	0.2849	0.1151	0.4092	-0.297	0.1394	-0.0756	0.3719	0.2958	-0.1891	0.1262	0.0772	0.1194	0.1916	0.0889	0.1412	0.3214	0.0683	-0.1908	0.442	0.2666	0.2205	0.0216	0.2381	-0.1557	0.3636	0.16	0.3926	0.5439	0.2637	0.5558	0.3992	-0.0893	0.5697	0.1395	0.1765	0.3204	0.3345	0.4832	0.5559	0.564	0.1426	0.2614	0.4882	0.3397	0.3305	0.1404	0.4265	0.0056
